username,name,location
AK001,Aung Kyaw,SRID=4326;POINT(96.1711877 16.7787729)
KT001,Kyaw Thaung,SRID=4326;POINT(96.175772 16.77122)
ZM001,Zaw Min,SRID=4326;POINT(96.1689941 16.7788702)
MH001,Mya Hnin,SRID=4326;POINT(96.1674832 16.7789246)
KK001,Ko Ko,SRID=4326;POINT(96.1615826 16.785768)
AC001,Aye Chan,SRID=4326;POINT(96.14788 16.786012)
SW001,Soe Win,SRID=4326;POINT(96.143969 16.779877)
HH001,Hla Hla,SRID=4326;POINT(96.1374301 16.7801116)
T001,Thura,SRID=4326;POINT(96.1316273 16.7805801)
TM001,Than Myint,SRID=4326;POINT(96.1229231 16.7930372)
MM001,Moe Moe,SRID=4326;POINT(96.1221885 16.802123)
AA001,Aung Aung,SRID=4326;POINT(96.1243709 16.8039039)
KKH001,Khin Khin,SRID=4326;POINT(96.1333307 16.8038067)
NL001,Nay Lin,SRID=4326;POINT(96.133012 16.804693)
WY001,Wai Yan,SRID=4326;POINT(96.128566 16.815558)
